ingredient,primary_deck,family_in_primary_deck,xref_deck,family_in_xref_deck
Acebutolol,19,F03,4,β1-Selective Blockers
Aclidinium,17,LAMA,3,Inhaled Muscarinic Antagonists (LAMAs)
Albuterol (Salbutamol),17,SABA,4,β2-Agonists – SABA
Amantadine,9,CNS_F05,29,F29_02
Amlodipine,19,F10,22,CCBs — DHP (anti-anginal)
Aspirin,7,COX-1 Inhibitors (antiplatelet),6,Salicylates
Aspirin,7,COX-1 Inhibitors (antiplatelet),22,Antithrombotic (ACS)
Atenolol,19,F02,4,β1-Selective Blockers
Atenolol,19,F02,22,β-Blockers (anti-anginal)
Atenolol,19,F02,23,Class II (β-Blocker)
Baricitinib,18,JAK Inhibitors,6,⭐ Newer JAK Inhibitors
Beclomethasone,34,Inhaled/Topical GCs,17,ICS
Benztropine,9,CNS_F06,3,Muscarinic Antagonists – Parkinson's
Betaxolol,19,F02,4,β1-Selective Blockers
Bisoprolol,19,F02,4,β1-Selective Blockers
Bisoprolol,19,F02,22,β-Blockers (anti-anginal)
Bromocriptine,9,CNS_F04,30,
Budesonide,34,Inhaled/Topical GCs,17,ICS
Canagliflozin,32,,20,F08
Carvedilol,19,F04,4,α1+β Blockers
Ciclesonide,34,Inhaled/Topical GCs,17,ICS
Cisatracurium,14,Non-depolarizing NMBs,3,NMB – Competitive Nondepolarizing
Clonazepam,10,ANX_F01,13,BZD (antiepileptic)
Clonidine,19,F13,4,α2-Agonists (Central)
Cocaine,14,Local Anesthetics — Esters,4,Indirect Sympathomimetic (IA)
Codeine,5,Weak µ-Agonists,17,Antitussives
Dapagliflozin,32,,20,F08
Dextromethorphan,5,Opioid Antitussives,17,Antitussives
Diazepam,10,ANX_F01,13,BZD (antiepileptic)
Diazepam,10,ANX_F01,14,Benzodiazepines (Anesthetic use)
Diltiazem,19,F12,22,CCBs — non-DHP (anti-anginal)
Diltiazem,19,F12,23,Class IV (CCB)
Diphenhydramine,15,H1 First Generation,10,ANX_F07
Diphenoxylate,5,Peripheral µ-Agonists,16,Antimotility Agents (Opioid-like)
Donepezil,9,CNS_F07,3,AChE Inhibitors – Alzheimer's
Doxazosin,19,F05,4,α1-Blockers
Empagliflozin,32,,20,F08
Eplerenone,20,F06,19,F09
Eplerenone,20,F06,34,MR Antagonists (Steroidal)
Esketamine,11,NMDA Antagonist,14,Ketamine (Phencyclidine derivative)
Esmolol,19,F02,4,β1-Selective Blockers
Esmolol,19,F02,23,Class II (β-Blocker)
Felodipine,19,F10,22,CCBs — DHP (anti-anginal)
Fentanyl,5,Synthetic — Phenylpiperidines,14,Opioid Anesthetics
Finerenone,34,Non-steroidal MRA,19,F16
Fluticasone,34,Inhaled/Topical GCs,17,ICS
Formoterol,17,LABA,4,β2-Agonists – LABA
Galantamine,9,CNS_F07,3,AChE Inhibitors – Alzheimer's
Glycopyrronium (inhaled),17,Additional LAMAs,3,Inhaled Muscarinic Antagonists (LAMAs)
Heparin (UFH),7,Unfractionated Heparin (UFH),22,Antithrombotic (ACS)
Hydroxyzine,15,H1 First Generation,10,ANX_F07
Indacaterol,17,LABA,4,β2-Agonists – ULABA
Ipratropium,17,SAMA,3,Inhaled Muscarinic Antagonists (LAMAs)
Ketoconazole,27,F27_17,34,Steroidogenesis Inhibitors
Labetalol,19,F04,4,α1+β Blockers
Leuprolide,30,,33,GnRH Agonists (xref→Deck 30)
Lidocaine,14,Local Anesthetics — Amides,23,Class IB
Loperamide,5,Peripheral µ-Agonists,16,Antimotility Agents (Opioid-like)
Lorazepam,10,ANX_F01,13,BZD (antiepileptic)
Lorazepam,10,ANX_F01,14,Benzodiazepines (Anesthetic use)
Lubiprostone,16,Chloride Channel Activators,6,PGE1 Analogs
Methotrexate,6,Conventional DMARDs,35,Folate Analogs
Methyldopa,19,F13,4,α2-Agonists (Central)
Methylprednisolone,34,Intermediate GCs,18,Glucocorticoids (Immunosuppressive)
Metoprolol,19,F02,4,β1-Selective Blockers
Metoprolol,19,F02,22,β-Blockers (anti-anginal)
Metoprolol,19,F02,23,Class II (β-Blocker)
Midazolam,10,ANX_F01,14,Benzodiazepines (Anesthetic use)
Misoprostol,16,Prostaglandin Analogs (GI protective),6,PGE1 Analogs
Mometasone,34,Inhaled/Topical GCs,17,ICS
Montelukast,17,Leukotriene Modifiers,6,CysLT1 Antagonists
Morphine,5,Natural Opiates,14,Opioid Anesthetics
Nadolol,19,F01,4,Non-selective β-Blockers
Naloxegol,5,⭐ PAMORAs,16,Peripherally Acting Mu-Opioid Antagonists (PAMORA)
Nebivolol,19,F02,4,β1-Selective Blockers
Nifedipine,19,F10,22,CCBs — DHP (anti-anginal)
Olodaterol,17,Ultra-LABA,4,β2-Agonists – ULABA
Oxymetazoline,17,α-Adrenergic Agonists (nasal),4,α1-Agonists
Pancuronium,14,Non-depolarizing NMBs,3,NMB – Competitive Nondepolarizing
Phenobarbital,10,ANX_F03,13,Barbiturate
Phenylephrine,17,α-Adrenergic Agonists (nasal),4,α1-Agonists
Pimavanserin,12,Selective 5-HT2A,9,CNS_F12
Pindolol,19,F01,4,Non-selective β-Blockers
Prasugrel,7,ADP Receptor Antagonists,22,P2Y12 Inhibitors (ACS)
Prazosin,19,F05,4,α1-Blockers
Prednisolone,34,Intermediate GCs,18,Glucocorticoids (Immunosuppressive)
Prednisone,34,Intermediate GCs,18,Glucocorticoids (Immunosuppressive)
Propranolol,19,F01,4,Non-selective β-Blockers
Propranolol,19,F01,10,ANX_F08
Propranolol,19,F01,22,β-Blockers (anti-anginal)
Remifentanil,5,Synthetic — Phenylpiperidines,14,Opioid Anesthetics
Rituximab,35,Anti-CD20 Antibodies,6,Other Biologics
Rivastigmine,9,CNS_F07,3,AChE Inhibitors – Alzheimer's
Rocuronium,14,Non-depolarizing NMBs,3,NMB – Competitive Nondepolarizing
Salmeterol,17,LABA,4,β2-Agonists – LABA
Spironolactone,20,F06,19,F09
Spironolactone,20,F06,34,MR Antagonists (Steroidal)
Succinylcholine,14,Depolarizing NMBs,3,NMB – Depolarizing
Sufentanil,5,Synthetic — Phenylpiperidines,14,Opioid Anesthetics
Sugammadex,14,NMB Reversal Agents,3,Selective Relaxant Binding Agent
Sulfasalazine,6,Conventional DMARDs,24,Sulfonamides
Terazosin,19,F05,4,α1-Blockers
Thiopental,10,ANX_F03,14,Barbiturates (Anesthetic)
Ticagrelor,7,ADP Receptor Antagonists,22,P2Y12 Inhibitors (ACS)
Timolol,19,F01,4,Non-selective β-Blockers
Tiotropium,17,LAMA,3,Inhaled Muscarinic Antagonists (LAMAs)
Tofacitinib,18,JAK Inhibitors,6,JAK Inhibitors
Triamcinolone,34,Intermediate GCs,17,ICS
Trihexyphenidyl,9,CNS_F06,3,Muscarinic Antagonists – Parkinson's
Umeclidinium,17,Additional LAMAs,3,Inhaled Muscarinic Antagonists (LAMAs)
Upadacitinib,18,JAK Inhibitors,6,⭐ Newer JAK Inhibitors
Vecuronium,14,Non-depolarizing NMBs,3,NMB – Competitive Nondepolarizing
Verapamil,19,F11,22,CCBs — non-DHP (anti-anginal)
Verapamil,19,F11,23,Class IV (CCB)
Warfarin,7,Vitamin K Antagonists (oral),22,Antithrombotic (ACS)
Zafirlukast,17,Leukotriene Modifiers,6,CysLT1 Antagonists
Zileuton,17,Leukotriene Modifiers,6,5-LOX Inhibitors
