name_en,name_he,is_primary,family_en,atc_code,source,brand_names,source_deck,deck_topic,category_code,notes
Pilocarpine,,True,Muscarinic Agonists (Direct),S01EB01,Slides,"Salagen, Isopto Carpine",3,Parasympathetic/ANS,ANS,"Glaucoma (topical), xerostomia (oral)"
Pilocarpine 1.25% (Vuity),,True,Muscarinic Agonists (Direct),S01EB01,ATC,Vuity,3,Parasympathetic/ANS,ANS,FDA 2021 — presbyopia in adults; pHast technology formulation
Bethanechol,,True,Muscarinic Agonists (Direct),N07AB02,Slides,Urecholine,3,Parasympathetic/ANS,ANS,Urinary retention (nonobstructive)
Carbachol,,True,Muscarinic Agonists (Direct),S01EB02,Slides,Miostat,3,Parasympathetic/ANS,ANS,"M+N agonist; glaucoma (rare), intraocular miotic"
Edrophonium,,True,AChE Inhibitors – Short-acting,N07AA02,Slides,Tensilon,3,Parasympathetic/ANS,ANS,Diagnostic for Myasthenia Gravis; 10-20 min
Physostigmine,,True,AChE Inhibitors – Intermediate-acting,N07AA01,Slides,Antilirium,3,Parasympathetic/ANS,ANS,"Crosses BBB; glaucoma, anticholinergic toxicity antidote"
Neostigmine,,True,AChE Inhibitors – Intermediate-acting,N07AA01,Slides,Prostigmin,3,Parasympathetic/ANS,ANS,MG treatment; NMB reversal; GI/bladder atony
Pyridostigmine,,True,AChE Inhibitors – Intermediate-acting,N07AA02,Slides,Mestinon,3,Parasympathetic/ANS,ANS,MG treatment (first-line); 3-8 hr duration
Ambenonium,,True,AChE Inhibitors – Intermediate-acting,N07AA30,Slides,Mytelase,3,Parasympathetic/ANS,ANS,MG treatment; 3-8 hr duration
Donepezil,,False,AChE Inhibitors – Alzheimer's,N06DA02,Slides,Aricept,3,Parasympathetic/ANS,ANS,Mild-moderate AD; once daily
Rivastigmine,,False,AChE Inhibitors – Alzheimer's,N06DA03,Slides,Exelon,3,Parasympathetic/ANS,ANS,Mild-moderate AD; also patch formulation
Galantamine,,False,AChE Inhibitors – Alzheimer's,N06DA04,Slides,Razadyne,3,Parasympathetic/ANS,ANS,Mild-moderate AD; also allosteric nicotinic modulator
Benzgalantamine,,True,AChE Inhibitors – Alzheimer's,N06DA04,ATC,Zunveyl,3,Parasympathetic/ANS,ANS,"FDA Jul 2024 — prodrug of galantamine; delayed-release → bypasses stomach, ↓ GI side effects"
Isoflurophate,,True,AChE Inhibitors – Irreversible,S01EB07,Slides,,3,Parasympathetic/ANS,ANS,Ophthalmic (obsolete); irreversible
Echothiophate,,True,AChE Inhibitors – Irreversible,S01EB03,Slides,Phospholine Iodide,3,Parasympathetic/ANS,ANS,Glaucoma (topical); irreversible
Parathion,,True,AChE Inhibitors – Irreversible,,Slides,,3,Parasympathetic/ANS,ANS,Pesticide (toxic)
Malathion,,True,AChE Inhibitors – Irreversible,,Slides,,3,Parasympathetic/ANS,ANS,Pesticide (toxic); also used as pediculicide
Soman,,True,AChE Inhibitors – Irreversible,,Slides,,3,Parasympathetic/ANS,ANS,Nerve gas agent
Pralidoxime,,True,Organophosphate Antidote,V03AB04,Slides,"2-PAM, Protopam",3,Parasympathetic/ANS,ANS,Reactivates AChE; given with atropine; must be given before aging
Atropine,,True,Non-selective Muscarinic Antagonists,A03BA01,Slides,,3,Parasympathetic/ANS,ANS,"Pre-anesthesia, bradycardia, antidote for cholinergic poisoning, mydriasis, GI spasm"
Scopolamine,,True,Non-selective Muscarinic Antagonists,A04AD01,Slides,Scopoderm,3,Parasympathetic/ANS,ANS,"Motion sickness, PONV; crosses BBB more than atropine"
Ipratropium,,False,Inhaled Muscarinic Antagonists (LAMAs),R03BB01,Slides,Atrovent,3,Parasympathetic/ANS,ANS,"SAMA; COPD, bronchospasm; 4x daily"
Tiotropium,,False,Inhaled Muscarinic Antagonists (LAMAs),R03BB04,Slides,Spiriva,3,Parasympathetic/ANS,ANS,LAMA; COPD + asthma maintenance; once daily
Aclidinium,,False,Inhaled Muscarinic Antagonists (LAMAs),R03BB05,ATC,Tudorza Pressair,3,Parasympathetic/ANS,ANS,FDA 2012 — LAMA; COPD; twice daily
Umeclidinium,,False,Inhaled Muscarinic Antagonists (LAMAs),R03BB07,ATC,Incruse Ellipta,3,Parasympathetic/ANS,ANS,FDA 2014 — LAMA; COPD; once daily
Glycopyrronium (inhaled),,False,Inhaled Muscarinic Antagonists (LAMAs),R03BB06,ATC,Seebri Neohaler,3,Parasympathetic/ANS,ANS,FDA 2015 — LAMA; COPD; once daily
Revefenacin,,True,Inhaled Muscarinic Antagonists (LAMAs),R03BB,ATC,Yupelri,3,Parasympathetic/ANS,ANS,FDA 2018 — LAMA; nebulized; COPD; once daily
Oxybutynin,,True,Muscarinic Antagonists – OAB,G04BD04,Slides,Ditropan,3,Parasympathetic/ANS,ANS,OAB; also transdermal
Tolterodine,,True,Muscarinic Antagonists – OAB,G04BD07,Slides,Detrol,3,Parasympathetic/ANS,ANS,OAB
Solifenacin,,True,Muscarinic Antagonists – OAB,G04BD08,Slides,Vesicare,3,Parasympathetic/ANS,ANS,OAB; M3-selective
Darifenacin,,True,Muscarinic Antagonists – OAB,G04BD10,Slides,Enablex,3,Parasympathetic/ANS,ANS,OAB; M3-selective
Fesoterodine,,True,Muscarinic Antagonists – OAB,G04BD11,Slides,Toviaz,3,Parasympathetic/ANS,ANS,OAB; active metabolite of tolterodine
Trospium,,True,Muscarinic Antagonists – OAB,G04BD09,Slides,Sanctura,3,Parasympathetic/ANS,ANS,"OAB; quaternary amine, does not cross BBB"
Tropicamide,,True,Muscarinic Antagonists – Ophthalmology,S01FA06,Slides,Mydriacyl,3,Parasympathetic/ANS,ANS,Short-acting mydriasis & cycloplegia
Cyclopentolate,,True,Muscarinic Antagonists – Ophthalmology,S01FA04,Slides,Cyclogyl,3,Parasympathetic/ANS,ANS,Mydriasis & cycloplegia
Benztropine,,False,Muscarinic Antagonists – Parkinson's,N04AC01,Slides,Cogentin,3,Parasympathetic/ANS,ANS,Parkinson's; also drug-induced EPS
Trihexyphenidyl,,False,Muscarinic Antagonists – Parkinson's,N04AA01,Slides,Artane,3,Parasympathetic/ANS,ANS,Parkinson's
Glycopyrronium (topical),,True,Muscarinic Antagonists – Topical (Hyperhidrosis),D11AX,ATC,Qbrexza,3,Parasympathetic/ANS,ANS,FDA 2018 — topical wipes; primary axillary hyperhidrosis
Sofpironium,,True,Muscarinic Antagonists – Topical (Hyperhidrosis),D11AX,ATC,Sofdra,3,Parasympathetic/ANS,ANS,FDA 2024 — topical gel; prodrug of glycopyrronium; hyperhidrosis
Nicotine,,True,Ganglionic Blockers (NN),N07BA01,Slides,"Nicorette, NiQuitin",3,Parasympathetic/ANS,ANS,Smoking cessation; NN agonist that causes desensitization → blockade
Cisatracurium,,False,NMB – Competitive Nondepolarizing,M03AC11,Slides,Nimbex,3,Parasympathetic/ANS,ANS,Benzylisoquinolinium; Hofmann elimination
Pancuronium,,False,NMB – Competitive Nondepolarizing,M03AC01,Slides,Pavulon,3,Parasympathetic/ANS,ANS,Steroidal; also blocks M → tachycardia
Rocuronium,,False,NMB – Competitive Nondepolarizing,M03AC09,Slides,Zemuron,3,Parasympathetic/ANS,ANS,Steroidal; rapid onset; reversed by sugammadex
Vecuronium,,False,NMB – Competitive Nondepolarizing,M03AC03,Slides,Norcuron,3,Parasympathetic/ANS,ANS,Steroidal; reversed by sugammadex
Succinylcholine,,False,NMB – Depolarizing,M03AB01,Slides,Anectine,3,Parasympathetic/ANS,ANS,Phase I fasciculations → Phase II flaccid paralysis; NOT reversed by AChE inhibitors
Sugammadex,,False,Selective Relaxant Binding Agent,V03AB35,ATC,Bridion,3,Parasympathetic/ANS,ANS,FDA 2015 — γ-cyclodextrin; encapsulates rocuronium/vecuronium; no anticholinergic side effects
Phenylephrine,,False,α1-Agonists,R01AA04,Slides,Neo-Synephrine,4,Sympathetic/Adrenergic,ANS,"Nasal decongestion, mydriasis, hypotension (IV)"
Oxymetazoline,,False,α1-Agonists,R01AA05,Slides,Afrin,4,Sympathetic/Adrenergic,ANS,Nasal decongestion (topical); ophthalmic drops
Clonidine,,False,α2-Agonists (Central),C02AC01,Slides,Catapres,4,Sympathetic/Adrenergic,ANS,"Hypertension; also ADHD, pain, opioid withdrawal"
Methyldopa,,False,α2-Agonists (Central),C02AB01,Slides,Aldomet,4,Sympathetic/Adrenergic,ANS,Hypertension (esp. pregnancy)
Fenoldopam,,True,D1-Agonists,C01CA19,Slides,Corlopam,4,Sympathetic/Adrenergic,ANS,Severe hypertension (IV)
Dobutamine,,True,β1-Agonists,C01CA07,Slides,Dobutrex,4,Sympathetic/Adrenergic,ANS,"Cardiogenic/septic shock, acute heart failure"
Dopamine,,True,β1-Agonists + D1,C01CA04,Slides,Intropin,4,Sympathetic/Adrenergic,ANS,"Shock, CHF; dose-dependent D1/β1/α1 effects"
Isoproterenol,,True,Non-selective β-Agonist (β1+β2),C01CA02,Slides,Isuprel,4,Sympathetic/Adrenergic,ANS,Cardiac stimulant (obsolete); AV block
Albuterol (Salbutamol),,False,β2-Agonists – SABA,R03AC02,Slides,"Ventolin, ProAir",4,Sympathetic/Adrenergic,ANS,"Acute asthma, bronchospasm; 4-6 hr"
Terbutaline,,True,β2-Agonists – SABA,R03AC03,Slides,Brethine,4,Sympathetic/Adrenergic,ANS,Acute asthma; also tocolytic
Salmeterol,,False,β2-Agonists – LABA,R03AC12,Slides,Serevent,4,Sympathetic/Adrenergic,ANS,Asthma/COPD maintenance; 12 hr; must use with ICS
Formoterol,,False,β2-Agonists – LABA,R03AC13,Slides,"Foradil, Oxeze",4,Sympathetic/Adrenergic,ANS,Asthma/COPD; 12 hr; rapid onset unlike salmeterol
Indacaterol,,False,β2-Agonists – ULABA,R03AC18,ATC,Arcapta Neohaler,4,Sympathetic/Adrenergic,ANS,FDA 2011 — ULABA; COPD; once daily 24 hr
Olodaterol,,False,β2-Agonists – ULABA,R03AC19,ATC,Striverdi Respimat,4,Sympathetic/Adrenergic,ANS,FDA 2014 — ULABA; COPD; once daily
Vilanterol,,True,β2-Agonists – ULABA,R03AC,ATC,"(in Breo, Anoro, Trelegy)",4,Sympathetic/Adrenergic,ANS,FDA 2013 — ULABA; only in combo products; COPD/asthma
Epinephrine,,True,Non-selective α/β Agonists,C01CA24,Slides,"EpiPen, Adrenalin",4,Sympathetic/Adrenergic,ANS,"Anaphylaxis, cardiac arrest, acute asthma; added to local anesthetics"
Norepinephrine,,True,Non-selective α/β Agonists (mainly α1),C01CA03,Slides,Levophed,4,Sympathetic/Adrenergic,ANS,Septic/cardiogenic shock; potent vasopressor
Mirabegron,,True,β3-Agonists,G04BD12,Slides,Myrbetriq,4,Sympathetic/Adrenergic,ANS,OAB; FDA 2012
Vibegron,,True,β3-Agonists,G04BD,ATC,Gemtesa,4,Sympathetic/Adrenergic,ANS,FDA Dec 2020 — OAB; also BPH+OAB (2024 expanded indication)
Ephedrine,,True,Indirect Sympathomimetic (MA),R01AA03,Slides,,4,Sympathetic/Adrenergic,ANS,Nasal decongestion; ↑NE + weak β-agonist + CNS
Amphetamine,,True,Indirect Sympathomimetic (IA),N06BA01,Slides,Adderall,4,Sympathetic/Adrenergic,ANS,"ADHD, narcolepsy; ↑NE release + CNS stimulant"
Methylphenidate,,True,Indirect Sympathomimetic,N06BA04,Slides,"Ritalin, Concerta",4,Sympathetic/Adrenergic,ANS,"ADHD, narcolepsy; NE/DA reuptake inhibitor"
Cocaine,,False,Indirect Sympathomimetic (IA),N01BC01,Slides,,4,Sympathetic/Adrenergic,ANS,Local anesthetic; NE reuptake inhibitor; addiction
Tyramine,,True,Indirect Sympathomimetic (IA),,Slides,,4,Sympathetic/Adrenergic,ANS,Found in cheese; ↑NE release; dangerous with MAO-I
Prazosin,,False,α1-Blockers,C02CA01,Slides,Minipress,4,Sympathetic/Adrenergic,ANS,Hypertension; 1st-dose effect
Terazosin,,False,α1-Blockers,C02CA02,Slides,Hytrin,4,Sympathetic/Adrenergic,ANS,"Hypertension, BPH"
Doxazosin,,False,α1-Blockers,C02CA04,Slides,Cardura,4,Sympathetic/Adrenergic,ANS,"Hypertension, BPH"
Tamsulosin,,True,α1-Blockers (α1A-selective),G04CA02,Textbook,Flomax,4,Sympathetic/Adrenergic,ANS,BPH (uroselective); less orthostatic hypotension
Alfuzosin,,True,α1-Blockers,G04CA01,Textbook,Uroxatral,4,Sympathetic/Adrenergic,ANS,BPH
Silodosin,,True,α1-Blockers (α1A-selective),G04CA04,Textbook,Rapaflo,4,Sympathetic/Adrenergic,ANS,FDA 2008 — BPH; highly α1A-selective
Phenoxybenzamine,,True,Non-selective α-Blockers,C04AX02,Slides,Dibenzyline,4,Sympathetic/Adrenergic,ANS,Pheochromocytoma; irreversible
Phentolamine,,True,Non-selective α-Blockers,C04AB01,Slides,Regitine,4,Sympathetic/Adrenergic,ANS,Pheochromocytoma; NE extravasation
Yohimbine,,True,α2-Blockers,,Slides,,4,Sympathetic/Adrenergic,ANS,No established clinical use; claimed aphrodisiac
Atenolol,,False,β1-Selective Blockers,C07AB03,Slides,Tenormin,4,Sympathetic/Adrenergic,ANS,"HTN, angina, MI"
Metoprolol,,False,β1-Selective Blockers,C07AB02,Slides,"Lopressor, Toprol-XL",4,Sympathetic/Adrenergic,ANS,"HTN, angina, MI, HF"
Bisoprolol,,False,β1-Selective Blockers,C07AB07,Slides,Zebeta,4,Sympathetic/Adrenergic,ANS,"HTN, HF"
Esmolol,,False,β1-Selective Blockers,C07AB09,Slides,Brevibloc,4,Sympathetic/Adrenergic,ANS,Ultra-short acting IV; perioperative
Acebutolol,,False,β1-Selective Blockers,C07AB04,Slides,Sectral,4,Sympathetic/Adrenergic,ANS,HTN; partial agonist (ISA)
Nebivolol,,False,β1-Selective Blockers,C07AB12,Slides,Bystolic,4,Sympathetic/Adrenergic,ANS,HTN; also ↑NO vasodilation
Betaxolol,,False,β1-Selective Blockers,C07AB05,Slides,"Kerlone, Betoptic",4,Sympathetic/Adrenergic,ANS,HTN; glaucoma (topical)
Propranolol,,False,Non-selective β-Blockers,C07AA05,Slides,Inderal,4,Sympathetic/Adrenergic,ANS,"HTN, migraine, hyperthyroidism, angina, MI"
Nadolol,,False,Non-selective β-Blockers,C07AA12,Slides,Corgard,4,Sympathetic/Adrenergic,ANS,HTN
Timolol,,False,Non-selective β-Blockers,C07AA06,Slides,Timoptic,4,Sympathetic/Adrenergic,ANS,"Glaucoma (topical), HTN"
Pindolol,,False,Non-selective β-Blockers,C07AA03,Slides,Visken,4,Sympathetic/Adrenergic,ANS,HTN; partial agonist (ISA)
Labetalol,,False,α1+β Blockers,C07AG01,Slides,Trandate,4,Sympathetic/Adrenergic,ANS,HTN in pregnancy
