ingredient_or_family,mda_criterion,similar_mechanism_drugs,disclaimer,status,source_deck,deck_topic,category_code,notes
Pilocarpine,לבדוק,"Bethanechol, Carbachol, Cevimeline",Y,,3,Parasympathetic/ANS,ANS,Muscarinic agonists — donor may have bradycardia/hypotension
Donepezil,לבדוק,"Rivastigmine, Galantamine, Benzgalantamine",Y,,3,Parasympathetic/ANS,ANS,AChE inhibitors for AD — bradycardia risk
Rivastigmine,לבדוק,"Donepezil, Galantamine, Benzgalantamine",Y,,3,Parasympathetic/ANS,ANS,AChE inhibitors for AD
Galantamine,לבדוק,"Donepezil, Rivastigmine, Benzgalantamine",Y,,3,Parasympathetic/ANS,ANS,AChE inhibitors for AD
Pyridostigmine,לבדוק,"Neostigmine, Ambenonium",Y,,3,Parasympathetic/ANS,ANS,MG treatment — cholinergic effects
Atropine,לבדוק,Scopolamine,Y,,3,Parasympathetic/ANS,ANS,"Anticholinergic — tachycardia, dry mouth"
Ipratropium,לבדוק,"Tiotropium, Aclidinium, Umeclidinium, Glycopyrronium, Revefenacin",Y,,3,Parasympathetic/ANS,ANS,LAMAs for COPD
Oxybutynin,לבדוק,"Tolterodine, Solifenacin, Darifenacin, Fesoterodine, Trospium",Y,,3,Parasympathetic/ANS,ANS,OAB antimuscarinics
Benztropine,לבדוק,Trihexyphenidyl,Y,,3,Parasympathetic/ANS,ANS,Antimuscarinics for Parkinson's
Warfarin (interaction),לבדוק,,Y,,3,Parasympathetic/ANS,ANS,Neostigmine may interact — check in coag deck
Propranolol,לבדוק,"Atenolol, Metoprolol, Bisoprolol, Nadolol, Timolol",Y,,4,Sympathetic/Adrenergic,ANS,"β-blockers — bradycardia, hypotension risk for donors"
Atenolol,לבדוק,"Metoprolol, Bisoprolol, Propranolol, Nebivolol",Y,,4,Sympathetic/Adrenergic,ANS,β1-selective blockers
Clonidine,לבדוק,Methyldopa,Y,,4,Sympathetic/Adrenergic,ANS,Central α2-agonists — hypotension risk
Prazosin,לבדוק,"Terazosin, Doxazosin, Tamsulosin, Silodosin",Y,,4,Sympathetic/Adrenergic,ANS,α1-blockers — orthostatic hypotension risk
Albuterol,לבדוק,"Terbutaline, Salmeterol, Formoterol",Y,,4,Sympathetic/Adrenergic,ANS,β2-agonists — tachycardia
Epinephrine,לבדוק,"Norepinephrine, Dopamine",Y,,4,Sympathetic/Adrenergic,ANS,Catecholamines — CV effects
Mirabegron,לבדוק,Vibegron,Y,,4,Sympathetic/Adrenergic,ANS,β3-agonists for OAB
Amphetamine,לבדוק,Methylphenidate,Y,,4,Sympathetic/Adrenergic,ANS,"CNS stimulants — hypertension, tachycardia"
Labetalol,לבדוק,Carvedilol,Y,,4,Sympathetic/Adrenergic,ANS,Combined α+β blockers
Morphine,לבדוק,"All strong µ-agonists (oxycodone, fentanyl, hydromorphone…)",Y,,5,Opioids,PAIN,"Likely deferral by condition (pain management), not by drug name"
Methadone,לבדוק,"Buprenorphine, naltrexone (OUD context)",Y,,5,Opioids,PAIN,Methadone maintenance = OUD indication — likely special deferral
Buprenorphine,לבדוק,"Methadone, naltrexone",Y,,5,Opioids,PAIN,Suboxone/Sublocade for OUD; may indicate active addiction history
Tramadol,לבדוק,"Tapentadol, codeine",Y,,5,Opioids,PAIN,Common Rx for mild-moderate pain; likely no deferral if stable
Fentanyl,לבדוק,"Morphine, oxycodone, hydromorphone",Y,,5,Opioids,PAIN,Patches (Duragesic) for chronic pain; injection = hospital only
Naloxone,לבדוק,"Nalmefene, naltrexone",Y,,5,Opioids,PAIN,Narcan for overdose reversal — recipient likely has OUD history
Naltrexone,לבדוק,"Naloxone, nalmefene",Y,,5,Opioids,PAIN,Vivitrol for OUD/AUD relapse prevention
Codeine,לבדוק,"Tramadol, dextromethorphan",Y,,5,Opioids,PAIN,OTC in some countries; may not trigger deferral
Suzetrigine,לבדוק,"NSAIDs, acetaminophen",Y,,5,Opioids,PAIN,Non-opioid — likely no special deferral; acute pain only
Cannabis (medical),לבדוק,"Dronabinol, nabilone",Y,,5,Opioids,PAIN,Medical cannabis may have separate MDA policy
Aspirin (low-dose),לבדוק,All NSAIDs,Y,,6,NSAIDs/DMARDs/Migraine,PAIN,Low-dose antiplatelet — likely relevant to MDA bleeding criteria; overlap with deck 07
NSAIDs (general),לבדוק,"Ibuprofen, naproxen, diclofenac, etc.",Y,,6,NSAIDs/DMARDs/Migraine,PAIN,Very common medications; likely minimal deferral if stable
Celecoxib,לבדוק,Other NSAIDs,Y,,6,NSAIDs/DMARDs/Migraine,PAIN,COX-2 selective; CV risk but no antiplatelet effect
Methotrexate,לבדוק,"Leflunomide, other DMARDs",Y,,6,NSAIDs/DMARDs/Migraine,PAIN,Immunosuppressant; likely deferral — autoimmune disease context
Adalimumab / TNF inhibitors,לבדוק,"Infliximab, etanercept, certolizumab, golimumab",Y,,6,NSAIDs/DMARDs/Migraine,PAIN,Immunosuppressant biologics; likely deferral for active autoimmune disease
Tofacitinib / JAK inhibitors,לבדוק,"Baricitinib, upadacitinib",Y,,6,NSAIDs/DMARDs/Migraine,PAIN,Immunosuppressant; oral; likely deferral
Rituximab,לבדוק,Other anti-CD20 (obinutuzumab),Y,,6,NSAIDs/DMARDs/Migraine,PAIN,B-cell depleting; significant immunosuppression; likely long deferral
Allopurinol,לבדוק,Febuxostat,Y,,6,NSAIDs/DMARDs/Migraine,PAIN,Gout prophylaxis; likely no deferral if stable
Colchicine,לבדוק,Indomethacin (for gout),Y,,6,NSAIDs/DMARDs/Migraine,PAIN,Anti-inflammatory; may indicate active flare
