Per-Deck Statistics,,,,,,,,
Deck,Category,Topic,Families (P),Families (X),Ingredients (P),Ingredients (X),Conditions,MDA_Links
3,ANS,Parasympathetic/ANS,15,1,30,16,16,10
4,ANS,Sympathetic/Adrenergic,12,4,22,26,17,9
5,PAIN,Opioids,16,0,33,0,17,10
6,PAIN,NSAIDs/DMARDs/Migraine,25,1,62,10,18,11
7,COAG,Coagulation,14,0,37,0,7,7
8,METAB,Hyperlipidemia,11,0,24,0,15,11
9,CNS,Parkinson/Alzheimer/ALS,14,0,28,1,9,9
10,CNS,Anxiolytics/Hypnotics,9,0,28,3,11,8
11,CNS,Antidepressants,14,0,38,0,12,7
12,CNS,Antipsychotics,6,0,24,0,8,4
13,CNS,Antiepileptics,14,0,26,4,10,7
14,ANES,Anesthetics,11,2,28,9,9,7
15,ALRG,Antihistamines (H1),2,0,19,0,7,3
16,GI,GI Drugs,13,2,32,3,9,6
17,RESP,Respiratory,20,0,33,8,7,6
18,IMMUN,Immunosuppressants,8,1,15,3,6,4
19,CV,Antihypertensives,17,0,51,3,12,10
20,CV,Diuretics,8,0,17,3,14,8
21,CV,Heart Failure,2,0,2,0,2,2
22,CV,Angina Pectoris,6,3,6,14,8,8
23,CV,Cardiac Arrhythmia,10,0,15,6,10,7
24,ANTI,Antimicrobials Intro,24,0,61,1,18,17
25,ANTI,Antimicrobials Detail,3,0,13,0,4,4
27,ANTI,Anti-TB + Antifungals,24,0,36,0,18,14
29,ANTI,Antivirals,25,0,54,1,12,12
30,ENDO,Pituitary Hormones,13,0,23,1,13,10
31,ENDO,Thyroid Hormones,6,0,9,0,7,6
32,ENDO,Diabetes Mellitus,14,0,31,0,9,8
33,ENDO,Gonadal Hormones,14,0,45,1,17,10
34,ENDO,Adrenocorticosteroids,10,0,19,3,13,7
35,ONCO,Anti-Cancer Drugs,29,0,62,1,14,7
,,GRAND TOTAL,409,14,923,117,349,249
Per-Category Summary,,,,,,,,
Category,Fam(P),Fam(X),Ing(P),Ing(X),Cond,MDA,,
ANS,27,5,52,42,33,19,,
PAIN,41,1,95,10,35,21,,
COAG,14,0,37,0,7,7,,
METAB,11,0,24,0,15,11,,
CNS,57,0,144,8,50,35,,
ANES,11,2,28,9,9,7,,
ALRG,2,0,19,0,7,3,,
GI,13,2,32,3,9,6,,
RESP,20,0,33,8,7,6,,
IMMUN,8,1,15,3,6,4,,
CV,43,3,91,26,46,35,,
ANTI,76,0,164,2,52,47,,
ENDO,57,0,127,5,59,41,,
ONCO,29,0,62,1,14,7,,
